tx_id,tx_size,tx_fee
1,1667,62605
2,1951,46327
3,677,86551
4,1139,30269
5,796,84778
6,422,52119
7,962,22783
8,428,31954
9,476,94661
10,1032,71343
11,833,9808
12,698,45161
13,1824,64066
14,1773,24002
15,769,12125
16,570,80113
17,1657,59283
18,1623,51314
19,882,29345
20,1289,79305
21,1982,59845
22,770,80782
23,388,65360
24,1974,62692
25,1016,67118
26,584,21949
27,1544,38690
28,1337,99679
29,942,58392
30,1613,18417
31,899,99124
32,1461,58245
33,1695,39869
34,1222,32855
35,998,26081
36,1762,45789
37,1172,23703
38,317,30140
39,228,39751
40,414,28778
41,461,99382
42,656,75828
43,927,43003
44,1929,76654
45,1991,64824
46,521,20262
47,1139,67041
48,1597,81242
49,1159,59468
50,528,26593
51,729,48244
52,1585,44194
53,1743,66415
54,340,79565
55,1417,69863
56,1021,17828
57,1470,87467
58,512,50172
59,947,49281
60,1042,50940
61,747,65632
62,892,23335
63,1644,26384
64,1293,18162
65,1160,5469
66,1530,23784
67,855,12006
68,1635,35212
69,733,52404
70,1486,54334
71,753,23711
72,1654,83359
73,1283,32614
74,846,88397
75,1878,49716
76,1599,57586
77,771,29265
78,1089,58819
79,595,20365
80,865,80516
81,1105,83909
82,355,40075
83,1407,29660
84,621,44777
85,1337,83290
86,1566,62135
87,888,69388
88,1880,18573
89,1619,34610
90,1413,72126
91,1448,99895
92,1036,81833
93,1399,20038
94,1824,21818
95,537,46545
96,542,60210
97,786,18737
98,1061,85350
99,1567,60970
100,250,55086
101,1430,16173
102,1297,38936
103,886,89193
104,1146,5448
105,737,99202
106,1881,89749
107,1476,10529
108,1169,71187
109,334,48462
110,601,54655
111,1114,94673
112,906,28671
113,744,19252
114,1517,1519
115,688,67184
116,202,42695
117,1038,1619
118,942,69256
119,904,66334
120,1076,45454
121,1980,54119
122,601,96575
123,293,43470
124,686,44719
125,1921,9194
126,905,54900
127,1248,69084
128,1054,74993
129,871,2262
130,1575,25569
131,1907,7140
132,704,49182
133,887,77665
134,1773,44158
135,916,67213
136,1966,62781
137,1785,26774
138,319,21840
139,467,12004
140,1315,63194
141,1204,87498
142,992,41640
143,694,33663
144,1431,49770
145,1031,29117
146,688,32526
147,456,3147
148,1885,45482
149,1631,32096
150,1120,94886
151,517,83051
152,812,99042
153,1091,54984
154,1146,47225
155,1717,67252
156,1072,40453
157,764,62844
158,1863,46135
159,1326,48752
160,1425,18062
161,965,98563
162,1396,28568
163,1881,48132
164,1407,98702
165,204,94031
166,410,13357
167,209,87488
168,1029,23700
169,1691,50130
170,1976,72129
171,1410,34491
172,722,57481
173,987,12738
174,1350,72270
175,848,43429
176,728,75904
177,1824,26262
178,1643,32926
179,373,30151
180,747,26951
181,1955,41043
182,1068,56541
183,1015,58257
184,1846,74882
185,1614,96572
186,1002,23411
187,381,53448
188,226,78862
189,943,23373
190,535,7402
191,811,51412
192,703,38357
193,1529,60830
194,986,62795
195,1529,48787
196,1014,54152
197,1702,80097
198,1358,99956
199,1789,42442
200,1525,90949
201,1728,68521
202,1361,14780
203,972,79199
204,644,33593
205,337,62958
206,1584,91723
207,1201,10163
208,1380,7651
209,530,86467
210,1557,59369
211,1653,15782
212,1423,16576
213,1645,89504
214,1334,39453
215,1352,16130
216,1651,44240
217,298,54186
218,406,3686
219,1613,29075
220,1040,11478
221,1457,67037
222,518,85427
223,341,39171
224,361,99619
225,895,5457
226,922,1026
227,1806,82527
228,564,98073
229,1597,86453
230,1901,96314
231,1121,54154
232,1124,28657
233,1860,14345
234,651,20478
235,531,46529
236,881,6122
237,1502,56705
238,274,21802
239,618,42887
240,1493,28072
241,1472,22363
242,972,17446
243,214,22658
244,431,31038
245,598,6467
246,1273,7132
247,1288,4744
248,1494,24593
249,1254,69585
250,1746,2533
251,1947,30597
252,246,48617
253,903,33511
254,747,62575
255,1516,38322
256,285,48971
257,893,82174
258,1679,52002
259,276,65112
260,1873,17706
261,213,40964
262,835,28935
263,1222,66748
264,1861,56196
265,1938,74580
266,341,61225
267,696,91108
268,1056,67981
269,1369,28764
270,402,23436
271,1904,87280
272,1655,44266
